"account","activities","low","calculated","start","end"
"GDR52E5E4SOYZ6P5753EX34L7SW5JHTAM5T3CHD6QQSDGIZUQLDK2H43","0","13102.5993135","13102.5993135","13102.5993135","13920.7692194"
"GDEUQWHIBXZTP6GJRHOWTZ5VMTSLFKLHYNFSGAH6KUJYPKIG5ZQVB53V","0","13000","13000","13000","13000"
"GDH5QKT35G5HIL63PBJML2HHZOL44KCP5JAAQROVH6BILIYYIYT2C5V5","0","13000","13000","13000","13000"
"GCVVXX4TNAIHOIYH5RRQKA65AWWPBZTZN7D2PIVDQBYKSTWFCTJ3QCTP","0","12930.5740199","12930.5740199","12930.5740199","12930.5740199"
"GAHKI2QLHIZ4IZPBHR4YAUQ7AWA3WIBBADT3AID37UI6D7B56MKDWN3C","0","12707.6876522","12707.6876522","12707.6876522","12707.6876522"
"GC2LJAB5ALNY2CCDNVF3DXT5MNQXSVOAEQGYJAE3NXPY6EZ4GVC2S6LB","0","12697.4984507","12697.4984507","12697.4984507","12697.4984507"
"GCVA7TTB2IUWV4N5MIUHRKWATDKJFO4W45O7EK2HCW4TV7KUKM2HNLO6","0","12542.0873285","12542.0873285","12542.0873285","57532.9942562"
"GCNLDPWSG4CJVR6V7OSNKCQ7TI4S6PO4GO2J6O5JYV26NUFWBLCBWTW2","0","12530.57","12530.57","12530.57","12530.57"
"GDUS5A6LULU6TGBZXI7CWIKFXGAKQEMI6C5JFVHPVWLN3AHECDLALR54","0","12396.49","12396.49","12396.49","12396.49"
"GB363DOQSSH6MBDNQAO5G5XPEN7VMHXYUHA3A7JKUZWKQYQQNC6IUNQV","0","12369.6322194","12369.6322194","12369.6322194","12369.6322194"
"GAPFCN5OV4J75DL5HNM3VHKOVCKFSQKYDMD3HPNLODA4VYMTG5EAQPBB","0","12124.9999963","12124.9999963","12124.9999963","12124.9999963"
"GBVPXDUUZ4PAR3R6O3TFQA57EZ53OZQMPBKJS42C5KT6ZL2O5XJWOPYU","0","12016.0663162","12016.0663162","12016.0663162","12016.0663162"
"GBVEEMBKCAZNIEWUJB2CGZ3UROPG46AGSUN32HHV5CUYXAIFV2SGJAEQ","0","12000.0000199","12000.0000199","12000.0000199","37000.0000199"
"GDZO35YBP6UIH2USDJI6ZYNHYM74LQRI23MUSOS72WANICJ3VI5U2TFQ","0","12000.0000004","12000.0000004","12000.0000004","12000.0000004"
"GCIVD5DIXPAHK25UDUSEXSOSQHVW64EIPS3DHBTSJXJDGHJW3EJHOKLR","0","12000","12000","12000","12000"
"GCZBFC32VGVWW5EZUG4TUPRVIQ5WCQMOB4CRWBY5JLJRCN6DSO7KEDSL","4","11100.2081317","11100.2081317","11749.7645344","10400.2081317"
"GAFZY52FMJGJABINKWPU7Z74V5HYPKY7EPVXSGARFYH5CZ6B7667HATW","0","11650.6925264","11650.6925264","11650.6925264","11650.6925264"
"GC7FMQBQTKB36YSBYPBRYRDUXEL325LJBH2OJKE5S53SAJ6EBCSSG4IH","0","11478.7480801","11478.7480801","11478.7480801","11478.7480801"
